Movie_ID,Title,Overview,Overview_WordCount,Genres,Director,Cast,Production_Company,Release_Date,Release_Year,Release_Month,Release_DayOfWeek,Runtime_Minutes,Budget_Local_Currency,Revenue_Local_Currency,Budget_Crores,Revenue_Crores,Profit_Local_Currency,ROI_Percent,Popularity_Score,Vote_Average,Vote_Count
1433133,Rambo,"Gowtham a ruthless heir to an education empire and Ram, a kind hearted orphanage caretaker, are raised with opposing beliefs. When Malar exposes Gowtham's dark secret, the two men face off in a brutal test of power and fists.",39,"Action, Drama",M. Muthaiah,"Arulnithi, Tanya Ravichandran, Ranjith Sajeev, Abhirami, Ayesha Zeenath",Unknown,10-10-2025,2025,10,Friday,109,0,0,0,0,0,0,0.9998,5.5,2
1403839,Bad Girl,"From her journey through high school and college, then out into the wider world, Ramya’s dream of finding the perfect guy is obstructed by societal mores, strict parents, unrequited love and the untrammeled chaos of her own mind.",38,"Romance, Drama",Varsha Bharath,"Anjali Sivaraman, Shanti Priya, Hridhu Haroon, Teejay, Sashank Bommireddipalli",Grass Root Film Company,05-09-2025,2025,9,Friday,112,0,0,0,0,0,0,0.975,6.9,7
1398980,Xtreme,"Her Clothes! Her Right!  a Feminism is Talking About the Heroine Who Wears Clothes in an Exceedingly Attractive Style! What Happened to a Girl Who Wanted to Be Like Her, What Happened to That Girl's Condition, When the Police Find Out Who is Responsible for Her Condition, They Find That She Has Been Brutally Murdered. How Do the Police Find the Killer Responsible for the Murder by Intensive Investigation! This Story.",71,"Action, Crime, Drama",Rajavel Krishna,"Rachitha Mahalakshmi, Abi Nakshathra, Raj Kumar Nagaraj, Ananth Nag, Amrita Halder",Sieger Pictures,03-01-2025,2025,1,Friday,0,0,0,0,0,0,0,1.4208,0,0
640484,Valimai,"A honest cop tries to track down the brain behind a series of robberies and murders, but things turn personal when his family become pawns in the criminal's game.",29,"Action, Crime, Thriller",H. Vinoth,"Ajith Kumar, Huma Qureshi, Kartikeya Gummakonda, Gurbani Judge, Sumithra",Bayview Projects,24-02-2022,2022,2,Thursday,179,1603200000,1745150000,160.32,174.51,141950000,8.85,1.1486,5.5,34
1426156,Kanal,"A widowed mother of two children fights against the oppressive norms of society, determined to carve a better future for her family. As she navigates poverty and relentless hardships, she refuses to bow to fate, breaking free from the chains that seek to hold her back.",46,,Samaya Murali,"Kavya Bellu, John Vijay, Sridhar, Swathi Krishnan, Jai Bala",The Nightingale Production,04-06-2022,2022,6,Saturday,70,0,0,0,0,0,0,1.0689,7,1
861818,Boomika,"Samyuktha's husband Gautham acquires a contract to build a township villa in an abandoned forest area. Gautham takes the help of his close friend Gayathri, an architect, to plan the construction. Gautham, Samyuktha, Gayathri, Aditi visit the guest house in the forest area to plan the construction. However, they start to experience several paranormal activities in the guest house which leaves them shocked and terrified.",65,"Mystery, Thriller, Horror",R. Rathindran Prasad,"Aishwarya Rajesh, Avantika, Vidhu, Pavel Navageethan, Madhuri Jain",Stone Bench Creations,20-08-2021,2021,8,Friday,122,0,0,0,0,0,0,0.855,5.306,18
770996,Dhowlath,"A drama film directed by Sakthi Sivan, starring Reshmi Gautham and Sakthi Sivan in the lead roles.",17,Action,Sakthee Sivan,"Rashmi Gautham, Yogi Babu, Sakthee Sivan",Unknown,27-11-2020,2020,11,Friday,130,0,0,0,0,0,0,0.8167,0,0
972646,O2,A mother fights to protect her son and his oxygen cylinder as they get stuck in a tunnel with other passengers and the oxygen level depleting,26,Thriller,GS Viknesh,"Nayanthara, Rithvik, Lenaa, Aadukalam Murugadoss, R. N. R. Manohar",Dream Warrior Pictures,17-06-2022,2022,6,Friday,120,0,0,0,0,0,0,0.8804,4.4,7
505677,Gorilla,Three friends who need money to better their lives and a disillusioned farmer hatch a plan to rob a bank with a chimp as an accomplice.,26,"Comedy, Romance, Action",Don Sandy,"Jiiva, Shalini Pandey, Sathish, Vivek Prasanna, Yogi Babu",All In Pictures,12-07-2019,2019,7,Friday,128,0,0,0,0,0,0,1.2839,3.7,5
1646073,Jadugar Ka Badla,"A reclusive magician living in a remote tourist spot in South India faces constant opposition from society while trying to fulfill his late father's dreams. When life pushes him to his breaking point, he undergoes a powerful transformation, emerging stronger and determined to prove himself against all odds.",48,Drama,Vineesh Millennium,"Yogi Babu, Hareesh Peradi, Shanthi Rao, Zakir Ali",Unknown,16-05-2025,2025,5,Friday,1,0,0,0,0,0,0,0.9749,0,0
