movie_id,title,imdb_id,overview,genres,director,cast,language,year,rating,votes,runtime_minutes,poster,backdrop,trailer,popularity,budget_crores,revenue_crores,production_company,release_date,source
,18.05.2009,,"18.05.2009 is an engaging Drama featuring compelling characters, intense narratives, and captivating storytelling.",Drama,K. Ganeshan,"Subash Chandra Bose, Dhaanya",Tamil,0,,,,,,,,,,,,dataset_3_tamil
,181,,"An aspiring film director along with his wife goes to a resort to write a story. When he begins writing the story, some paranormal force prevents him from penning the story. What is the mystic force? Can he saves himself and his wife?",Horror,Mohamad Issack,"Gemini Ryker, Rheena Krishnan, Kaviya Amaira, Vijay Chandru, Yuva Thameem",Tamil,0,,,,,,,,,,,,dataset_3_tamil
1097405,181,,"An aspiring film director along with his wife goes to a resort to write a story. When he begins writing the story, some paranormal force prevents him from penning the story. What is the mystic force? Can he saves himself and his wife?",Horror,Mohamad Issack,"Gemini Ryker, Rheena Krishnan, Kaviya Amaira, Vijay Chandru, Yuva Thameem",,2022,5.0,1.0,112.0,,,,1.0061,0.0,0.0,Unknown,16-12-2022,dataset_4
,1945,,"Set in Burma in the year 1945, Netaji Subhash Chandra Bose plans to launch the INA to fight the British. This is also the time when Adi comes back to Burma to take care of his family business. Upon his arrival, he gets engaged to a British Tasildar's daughter. Just as he is set to get married, the atrocities of the British keep growing and Adi is forced to fight the British.","Drama, History, Action",Sathyasiva,"Regena Cassandrra, Rana Daggubati, Sathyaraj, Nassar, Kaali Venkat",Tamil,0,,,,,,,,,,,,dataset_3_tamil
414177,1945,,"Set in Burma in the year 1945, Netaji Subhash Chandra Bose plans to launch the INA to fight the British. This is also the time when Adi comes back to Burma to take care of his family business. Upon his arrival, he gets engaged to a British Tasildar’s daughter. Just as he is set to get married, the atrocities of the British keep growing and Adi is forced to fight the British.","Drama, History, Action",Sathyasiva,"Regena Cassandrra, Rana Daggubati, Sathyaraj, Nassar, Kaali Venkat",,2022,5.3,3.0,122.0,,,,1.6014,0.0,0.0,KNR Productions,07-01-2022,dataset_4
1129643,1982 Anbarasin Kaadhal,,"Anbarasu, a soft-hearted youth, takes a life-changing trip to Kerala to express his feelings to the love of his life. But soon he comes across a lot of life-threatening obstacles, will Anbuand his love succeed or succumb?","Romance, Thriller",Ullas Shankar,"Ashik Merlin, Arunima Raj, Amal Raveendran, Ullas Shankar, Chandana Aravind",,2023,5.0,1.0,120.0,,,,1.0825,0.0,0.0,Devakannya Productions,26-05-2023,dataset_4
,1982: Anbarasin Kaadhal,,"Anbarasu, a soft-hearted youth takes a life changing trip to Kerala to express his feelings to the love of his life. But soon he comes across a lot of life-threatening obstacles, will Anbu and his love succeed or succumb ?","Romance, Thriller",Ullas Shankar,"Ashik Merlin, Arunima Raj, Amal Raveendran, Ullas Shankar, Chandana Aravind",Tamil,0,,,,,,,,,,,,dataset_3_tamil
,2,,"An ornithologist who commits suicide returns as fifth force to wreack vengeance on mankind for harming birds with mobile phone radiation. The only thing that is standing in his way is 2.0, the upgraded version of Chitti, the robot.","Action, Sci-Fi, Fantasy",Shankar,"Rajinikanth, Akshay Kumar, Amy Jackson, Sudhanshu Pandey, Adil Hussain",Tamil,0,,,,,,,,,,,,dataset_3_tamil
373449,2,,"An ornithologist who commits suicide returns as fifth force to wreack vengeance on mankind for harming birds with mobile phone radiation. The only thing that is standing in his way is 2.0, the upgraded version of Chitti, the robot.","Action, Science Fiction, Fantasy",Shankar,"Rajinikanth, Akshay Kumar, Amy Jackson, Sudhanshu Pandey, Adil Hussain",,2018,5.85,180.0,149.0,,,,2.2241,642.95,957.15,Lyca Productions,29-11-2018,dataset_4
,2 Glasses of Milk,,Two writers. Two ideologies. One meeting.,Drama,Thiyagesh Ramalingam,"Maathevan, Ismail",Tamil,0,,,,,,,,,,,,dataset_3_tamil
644271,2 Glasses of Milk,,Two writers. Two ideologies. One meeting.,Drama,Thiyagesh Ramalingam,"Maathevan, Ismail",,2019,0.0,0.0,15.0,,,,0.3144,0.0,0.0,Unknown,04-01-2019,dataset_4
,20 Days in Mariupol,,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.","Documentary, War",Mstyslav Chernov,"Mstyslav Chernov, Evgeniy Maloletka, Liudmyla Amelkina, Roman Golovanov, Zhanna Homa, Oleksandr Ivanov",Tamil,0,,,,,,,,,,,,dataset_3_tamil
,2323 the Beginning,,"This time, it's a science fiction film titled, ""2323 - the beginning"", a Sathish Ramakrishnan initiative. Maayon, the protagonist, commences as a child prodigy, a pluviophile; an ingenious who can control weather.",Action,Sathish Ramakrishnan,"Sathish Ramakrishnan, Sathvika Appaiah, Anand R Linga, Crystal Imera",Tamil,0,,,,,,,,,,,,dataset_3_tamil
,24,,Scientist turned Entrepreneur Dr. Sethuraman tries to safeguard his newly invented time travel device from falling into the hands of his Evil Twin Brother Aathreya.,"Action, Sci-Fi, Thriller",Vikram Kumar,"Suriya, Samantha Ruth Prabhu, Nithya Menen, Saranya Ponvannan, Ajay",Tamil,0,,,,,,,,,,,,dataset_3_tamil
368006,24,,Scientist turned Entrepreneur Dr. Sethuraman tries to safeguard his newly invented time travel device from falling into the hands of his Evil Twin Brother Aathreya.,"Action, Science Fiction, Thriller",Vikram Kumar,"Suriya, Samantha Ruth Prabhu, Nithya Menen, Saranya Ponvannan, Ajay",,2016,7.2,135.0,164.0,,,,1.1746,83.5,125.25,Studio Green,05-05-2016,dataset_4
,29,,"A quirky 29-year-old named Sathya embarks on an unexpected journey of laughter, unlikely friendships, and self-discovery. Through hilarious misadventures and chance encounters, he slowly sees life's bigger picture - its surprises, joys, and second chances.","Romance, Comedy, Drama",Rathna Kumar,"Vidhu, Preethi Asrani, Mahendran, Sindhu Shyam, Avinash Raghudevan",Tamil,0,,,,,,,,,,,,dataset_3_tamil
1510769,29,,"A quirky 29-year-old named Sathya embarks on an unexpected journey of laughter, unlikely friendships, and self-discovery. Through hilarious misadventures and chance encounters, he slowly sees life's bigger picture - its surprises, joys, and second chances.","Romance, Comedy, Drama",Rathna Kumar,"Vidhu, Preethi Asrani, Mahendran, Sindhu Shyam, Avinash Raghudevan",,2026,6.9,8.0,149.0,,,,3.7595,0.0,0.0,Stone Bench Creations,08-05-2026,dataset_4
,2K Love Story,,"Can there be pure friendship between a boy and girl who are close to each other since childhood? Their friends, family members and close members all think that this deep friendship between the two will lead love and then marriage. Does it happen with all such friendships?","Romance, Comedy",Suseenthiran,"Jagaveer, Meenakshi Govindarajan, Balasaravanan, Jayaprakash, Singampuli",Tamil,0,,,,,,,,,,,,dataset_3_tamil
1411540,2K Love Story,,"Can there be pure friendship between a boy and girl who are close to each other since childhood? Their friends, family members and close members all think that this deep friendship between the two will lead love and then marriage. Does it happen with all such friendships?","Romance, Comedy",Suseenthiran,"Jagaveer, Meenakshi Govindarajan, Balasaravanan, Jayaprakash, Singampuli",,2025,4.0,2.0,0.0,,,,0.5465,0.0,0.0,City Light Pictures,14-02-2025,dataset_4
,3.33,,"A young man is haunted by a number, which happens to be the time he was born at. Can he and his family escape its clutches?","Horror, Thriller",Nambikkai Chandru,"Sandy, Gautham Vasudev Menon, Shruthi Selvam, Mime Gopi, Reshma Pasupuleti",Tamil,0,,,,,,,,,,,,dataset_3_tamil
892121,3.33,,"A young man is haunted by a number, which happens to be the time he was born at. Can he and his family escape its clutches?","Horror, Thriller",Nambikkai Chandru,"Sandy, Gautham Vasudev Menon, Shruthi Selvam, Mime Gopi, Reshma Pasupuleti",,2021,5.3,3.0,124.0,,,,2.2359,0.0,0.0,Bamboo Trees Productions,10-12-2021,dataset_4
,312,,"A BACHELOR SEEKING A ROOM FOR A RENT , AFTER HE RENTED A ROOM HE FOUND A OLD MYSTERIOUS DOLL .",Horror,AAKASH,"AAKASH, AVINASH, ANU, ARUN",Tamil,0,,,,,,,,,,,,dataset_3_tamil
1372707,312,,"A BACHELOR SEEKING A ROOM FOR A RENT , AFTER HE RENTED A ROOM HE FOUND A OLD MYSTERIOUS DOLL .",Horror,AAKASH,"AAKASH, AVINASH, ANU, ARUN",,2018,7.0,1.0,11.0,,,,0.4402,0.0,0.0,20th viva video,19-10-2018,dataset_4
,33km From KL,,"Benjamin, Gururaj and Satya have gotten involved in an accident. The three men do not know each other and are only connected by the accident they've been in. Benjamin is a millionaire suffering from a mental disorder. Gururaj is a software engineer who has been kidnapped by an assassin but he cannot figure out the reason for the kidnapping, even though it's clear that the motive is revenge and money. Lastly, Satya is a happy-go-lucky young man who is in a reluctant relationship with a girl named Mei Ling.","Mystery, Thriller",K. S. Umaagaanthan,"Ben G, Kavimaran THR Raaga, Logeswaran, Ananthan Muniandy, Shamini Ramasamy",Tamil,0,,,,,,,,,,,,dataset_3_tamil
536445,33km From KL,,"Benjamin, Gururaj and Satya have gotten involved in an accident. The three men do not know each other and are only connected by the accident they've been in. Benjamin is a millionaire suffering from a mental disorder. Gururaj is a software engineer who has been kidnapped by an assassin but he cannot figure out the reason for the kidnapping, even though it's clear that the motive is revenge and money. Lastly, Satya is a happy-go-lucky young man who is in a reluctant relationship with a girl named Mei Ling.","Mystery, Thriller",K. S. Umaagaanthan,"Ben G, Kavimaran THR Raaga, Logeswaran, Ananthan Muniandy, Shamini Ramasamy",,2018,8.0,2.0,125.0,,,,1.2115,0.0,0.0,El Praga Pasca Penerbitan,15-03-2018,dataset_4
,36 Vayadhinile,,"A married woman, who has set aside her dreams for the sake of her husband and daughter, rediscovers her true self and becomes an achiever.","Drama, Family",Rosshan Andrrews,"Jyothika, Rahman, Abhirami, Amritha Anilkumar, Nassar",Tamil,0,,,,,,,,,,,,dataset_3_tamil
334383,36 Vayadhinile,,"A married woman, who has set aside her dreams for the sake of her husband and daughter, rediscovers her true self and becomes an achiever.","Drama, Family",Rosshan Andrrews,"Jyothika, Rahman, Abhirami, Amritha Anilkumar, Nassar",,2015,6.7,23.0,143.0,,,,1.926,0.0,0.0,2D Entertainment,08-05-2015,dataset_4
,369,,"When police couldn't tackle a mysterious incident involving his girlfriend, Sanjay takes the matter into his own hands.","Crime, Mystery, Thriller",Jefin Joy,"Sadhika Venugopal, Shafiqu Rahiman, Ambika Mohan, Isha Farha Quraishy, Hemanth Menon, M.G. Vijay",Tamil,0,,,,,,,,,,,,dataset_3_tamil
,3BHK,,A middle-class family battles financial hurdles and personal setbacks while pursuing their dream of owning a home in the bustling city.,"Family, Drama",Sri Ganesh,"Siddharth, R. Sarathkumar, Devayani, Meetha Raghunath, Chaithra J Achar",Tamil,0,,,,,,,,,,,,dataset_3_tamil
1293849,3BHK,,A middle-class family battles financial hurdles and personal setbacks while pursuing their dream of owning a home in the bustling city.,"Family, Drama",Sri Ganesh,"Siddharth, R. Sarathkumar, Devayani, Meetha Raghunath, Chaithra J Achar",,2025,7.143,14.0,139.0,,,,0.9395,0.0,0.0,Shanthi Talkies,04-07-2025,dataset_4
